0F-InvertedOnlyMD5|0-InvertedOnlyPids|33-System_ItemUrl|3-System_ItemFolderNameDisplay|4127-System_AppUserModel_PackageFamilyName|4166-System_ConnectedSearch_ApplicationSearchScope|4168-System_ConnectedSearch_ItemSource|4395-System_History_VisitCount|4410-System_IsAttachment|4415-System_IsFolder|4421-System_ItemFolderPathDisplay|4422-System_ItemFolderPathDisplayNarrow|4423-System_ItemName|4424-System_ItemNameDisplay|4428-System_ItemPathDisplay|4429-System_ItemPathDisplayNarrow|4443-System_Link_DateVisited|4449-System_Link_TargetUrl|4604-System_SFGAOFlags|4605-System_Search_AccessCount|4612F-System_Search_GatherTime|4614-System_Search_LastIndexedTotalTime|4618-System_Search_Store|4659-System_Title|WorkID
"D41D8CD98F00B204E9800998ECF8427E"||"winrt://{S-1-5-21-2801897208-1878083585-4182000528-1002}"||||||"False"|"False"|"\"|"\"|"{S-1-5-21-2801897208-1878083585-4182000528-1002}"|"{S-1-5-21-2801897208-1878083585-4182000528-1002}"|"\\{S-1-5-21-2801897208-1878083585-4182000528-1002}"|"{S-1-5-21-2801897208-1878083585-4182000528-1002} (\)"||||"0"|"13/03/2018 19:15:34.4753963"|"0,015625"|"winrt"||"10"
"D41D8CD98F00B204E9800998ECF8427E"||"winrt://{S-1-5-21-2801897208-1878083585-4182000528-1003}"||||||"False"|"False"|"\"|"\"|"{S-1-5-21-2801897208-1878083585-4182000528-1003}"|"{S-1-5-21-2801897208-1878083585-4182000528-1003}"|"\\{S-1-5-21-2801897208-1878083585-4182000528-1003}"|"{S-1-5-21-2801897208-1878083585-4182000528-1003} (\)"||||"0"|"26/04/2018 18:22:50.0639384"|"0,03125"|"winrt"||"2643"
"05922F3138D866C94B40247862B5F099"|"1512"|"winrt://{S-1-5-21-2801897208-1878083585-4182000528-1003}/LS/Microsoft.MicrosoftEdge_8wekyb3d8bbwe/spartan history/https%3A%2F%2Fmicrosoftedgewelcome.microsoft.com%2Fen-us%2Fspeed%2Frs3%3Fsource%3Dfirstrun"|"spartan history"|"Microsoft.MicrosoftEdge_8wekyb3d8bbwe"|"0"|"1"|"1"|"False"|"False"|"\\{S-1-5-21-2801897208-1878083585-4182000528-1003}\LS\Microsoft.MicrosoftEdge_8wekyb3d8bbwe\spartan history"|"spartan history (\\{S-1-5-21-2801897208-1878083585-4182000528-1003}\LS\Microsoft.MicrosoftEdge_8wekyb3d8bbwe)"|"https%3A%2F%2Fmicrosoftedgewelcome.microsoft.com%2Fen-us%2Fspeed%2Frs3%3Fsource%3Dfirstrun"|"https%3A%2F%2Fmicrosoftedgewelcome.microsoft.com%2Fen-us%2Fspeed%2Frs3%3Fsource%3Dfirstrun"|"\\{S-1-5-21-2801897208-1878083585-4182000528-1003}\LS\Microsoft.MicrosoftEdge_8wekyb3d8bbwe\spartan history\https%3A%2F%2Fmicrosoftedgewelcome.microsoft.com%2Fen-us%2Fspeed%2Frs3%3Fsource%3Dfirstrun"|"https%3A%2F%2Fmicrosoftedgewelcome.microsoft.com%2Fen-us%2Fspeed%2Frs3%3Fsource%3Dfirstrun (\\{S-1-5-21-2801897208-1878083585-4182000528-1003}\LS\Microsoft.MicrosoftEdge_8wekyb3d8bbwe\spartan history)"|"26/04/2018 12:37:42.2120000"|"https://microsoftedgewelcome.microsoft.com/en-us/speed/rs3?source=firstrun"|"4194304"|"0"|"26/04/2018 18:37:42.8450145"|"0,03125"|"winrt"|"Microsoft Edge"|"3163"
"05922F3138D866C94B40247862B5F099"|"1512"|"winrt://{S-1-5-21-2801897208-1878083585-4182000528-1003}/LS/Microsoft.MicrosoftEdge_8wekyb3d8bbwe/spartan history/https%3A%2F%2Fwww.bing.com%2Fsearch%3Fq%3Deraser%26form%3DEDGEAR%26qs%3DPF%26cvid%3D2768940d31e44c82b80c458248cd223b%26cc%3DUS%26setlang%3Den-US"|"spartan history"|"Microsoft.MicrosoftEdge_8wekyb3d8bbwe"|"0"|"1"|"1"|"False"|"False"|"\\{S-1-5-21-2801897208-1878083585-4182000528-1003}\LS\Microsoft.MicrosoftEdge_8wekyb3d8bbwe\spartan history"|"spartan history (\\{S-1-5-21-2801897208-1878083585-4182000528-1003}\LS\Microsoft.MicrosoftEdge_8wekyb3d8bbwe)"|"https%3A%2F%2Fwww.bing.com%2Fsearch%3Fq%3Deraser%26form%3DEDGEAR%26qs%3DPF%26cvid%3D2768940d31e44c82b80c458248cd223b%26cc%3DUS%26setlang%3Den-US"|"https%3A%2F%2Fwww.bing.com%2Fsearch%3Fq%3Deraser%26form%3DEDGEAR%26qs%3DPF%26cvid%3D2768940d31e44c82b80c458248cd223b%26cc%3DUS%26setlang%3Den-US"|"\\{S-1-5-21-2801897208-1878083585-4182000528-1003}\LS\Microsoft.MicrosoftEdge_8wekyb3d8bbwe\spartan history\https%3A%2F%2Fwww.bing.com%2Fsearch%3Fq%3Deraser%26form%3DEDGEAR%26qs%3DPF%26cvid%3D2768940d31e44c82b80c458248cd223b%26cc%3DUS%26setlang%3Den-US"|"https%3A%2F%2Fwww.bing.com%2Fsearch%3Fq%3Deraser%26form%3DEDGEAR%26qs%3DPF%26cvid%3D2768940d31e44c82b80c458248cd223b%26cc%3DUS%26setlang%3Den-US (\\{S-1-5-21-2801897208-1878083585-4182000528-1003}\LS\Microsoft.MicrosoftEdge_8wekyb3d8bbwe\spartan history)"|"26/04/2018 12:37:45.5640000"|"https://www.bing.com/search?q=eraser&form=EDGEAR&qs=PF&cvid=2768940d31e44c82b80c458248cd223b&cc=US&setlang=en-US"|"4194304"|"0"|"26/04/2018 18:37:46.4856959"|"0"|"winrt"|"eraser - Bing"|"3167"
"05922F3138D866C94B40247862B5F099"|"1512"|"winrt://{S-1-5-21-2801897208-1878083585-4182000528-1003}/LS/Microsoft.MicrosoftEdge_8wekyb3d8bbwe/spartan history/https%3A%2F%2Feraser.heidi.ie%2Fdownload%2F"|"spartan history"|"Microsoft.MicrosoftEdge_8wekyb3d8bbwe"|"0"|"1"|"1"|"False"|"False"|"\\{S-1-5-21-2801897208-1878083585-4182000528-1003}\LS\Microsoft.MicrosoftEdge_8wekyb3d8bbwe\spartan history"|"spartan history (\\{S-1-5-21-2801897208-1878083585-4182000528-1003}\LS\Microsoft.MicrosoftEdge_8wekyb3d8bbwe)"|"https%3A%2F%2Feraser.heidi.ie%2Fdownload%2F"|"https%3A%2F%2Feraser.heidi.ie%2Fdownload%2F"|"\\{S-1-5-21-2801897208-1878083585-4182000528-1003}\LS\Microsoft.MicrosoftEdge_8wekyb3d8bbwe\spartan history\https%3A%2F%2Feraser.heidi.ie%2Fdownload%2F"|"https%3A%2F%2Feraser.heidi.ie%2Fdownload%2F (\\{S-1-5-21-2801897208-1878083585-4182000528-1003}\LS\Microsoft.MicrosoftEdge_8wekyb3d8bbwe\spartan history)"|"26/04/2018 12:37:53.7160000"|"https://eraser.heidi.ie/download/"|"4194304"|"0"|"26/04/2018 18:37:53.9895524"|"0"|"winrt"|"Download – Eraser"|"3169"
"05922F3138D866C94B40247862B5F099"|"1512"|"winrt://{S-1-5-21-2801897208-1878083585-4182000528-1003}/LS/Microsoft.MicrosoftEdge_8wekyb3d8bbwe/spartan history/https%3A%2F%2Fsourceforge.net%2Fprojects%2Feraser%2Ffiles%2FEraser%206%2F6.2%2FEraser%206.2.0.2982.exe%2Fdownload"|"spartan history"|"Microsoft.MicrosoftEdge_8wekyb3d8bbwe"|"0"|"1"|"1"|"False"|"False"|"\\{S-1-5-21-2801897208-1878083585-4182000528-1003}\LS\Microsoft.MicrosoftEdge_8wekyb3d8bbwe\spartan history"|"spartan history (\\{S-1-5-21-2801897208-1878083585-4182000528-1003}\LS\Microsoft.MicrosoftEdge_8wekyb3d8bbwe)"|"https%3A%2F%2Fsourceforge.net%2Fprojects%2Feraser%2Ffiles%2FEraser%206%2F6.2%2FEraser%206.2.0.2982.exe%2Fdownload"|"https%3A%2F%2Fsourceforge.net%2Fprojects%2Feraser%2Ffiles%2FEraser%206%2F6.2%2FEraser%206.2.0.2982.exe%2Fdownload"|"\\{S-1-5-21-2801897208-1878083585-4182000528-1003}\LS\Microsoft.MicrosoftEdge_8wekyb3d8bbwe\spartan history\https%3A%2F%2Fsourceforge.net%2Fprojects%2Feraser%2Ffiles%2FEraser%206%2F6.2%2FEraser%206.2.0.2982.exe%2Fdownload"|"https%3A%2F%2Fsourceforge.net%2Fprojects%2Feraser%2Ffiles%2FEraser%206%2F6.2%2FEraser%206.2.0.2982.exe%2Fdownload (\\{S-1-5-21-2801897208-1878083585-4182000528-1003}\LS\Microsoft.MicrosoftEdge_8wekyb3d8bbwe\spartan history)"|"26/04/2018 12:38:11.0910000"|"https://sourceforge.net/projects/eraser/files/Eraser%206/6.2/Eraser%206.2.0.2982.exe/download"|"4194304"|"0"|"26/04/2018 18:38:11.1184448"|"0,03125"|"winrt"|"Download Eraser from SourceForge.net"|"3170"
"05922F3138D866C94B40247862B5F099"|"1512"|"winrt://{S-1-5-21-2801897208-1878083585-4182000528-1003}/LS/Microsoft.MicrosoftEdge_8wekyb3d8bbwe/spartan history/https%3A%2F%2Fsourceforge.net%2Fprojects%2Feraser%2Fpostdownload%3Fsource%3Ddlp"|"spartan history"|"Microsoft.MicrosoftEdge_8wekyb3d8bbwe"|"0"|"1"|"1"|"False"|"False"|"\\{S-1-5-21-2801897208-1878083585-4182000528-1003}\LS\Microsoft.MicrosoftEdge_8wekyb3d8bbwe\spartan history"|"spartan history (\\{S-1-5-21-2801897208-1878083585-4182000528-1003}\LS\Microsoft.MicrosoftEdge_8wekyb3d8bbwe)"|"https%3A%2F%2Fsourceforge.net%2Fprojects%2Feraser%2Fpostdownload%3Fsource%3Ddlp"|"https%3A%2F%2Fsourceforge.net%2Fprojects%2Feraser%2Fpostdownload%3Fsource%3Ddlp"|"\\{S-1-5-21-2801897208-1878083585-4182000528-1003}\LS\Microsoft.MicrosoftEdge_8wekyb3d8bbwe\spartan history\https%3A%2F%2Fsourceforge.net%2Fprojects%2Feraser%2Fpostdownload%3Fsource%3Ddlp"|"https%3A%2F%2Fsourceforge.net%2Fprojects%2Feraser%2Fpostdownload%3Fsource%3Ddlp (\\{S-1-5-21-2801897208-1878083585-4182000528-1003}\LS\Microsoft.MicrosoftEdge_8wekyb3d8bbwe\spartan history)"|"26/04/2018 12:39:03.4230000"|"https://sourceforge.net/projects/eraser/postdownload?source=dlp"|"4194304"|"0"|"26/04/2018 18:39:09.8918998"|"0,015625"|"winrt"|"Find out more about Eraser | SourceForge.net"|"3191"
"05922F3138D866C94B40247862B5F099"|"1512"|"winrt://{S-1-5-21-2801897208-1878083585-4182000528-1003}/LS/Microsoft.MicrosoftEdge_8wekyb3d8bbwe/spartan history/https%3A%2F%2Fsourceforge.net%2Fprojects%2Feraser%2F%3Fsource%3Dtyp_redirect"|"spartan history"|"Microsoft.MicrosoftEdge_8wekyb3d8bbwe"|"0"|"1"|"1"|"False"|"False"|"\\{S-1-5-21-2801897208-1878083585-4182000528-1003}\LS\Microsoft.MicrosoftEdge_8wekyb3d8bbwe\spartan history"|"spartan history (\\{S-1-5-21-2801897208-1878083585-4182000528-1003}\LS\Microsoft.MicrosoftEdge_8wekyb3d8bbwe)"|"https%3A%2F%2Fsourceforge.net%2Fprojects%2Feraser%2F%3Fsource%3Dtyp_redirect"|"https%3A%2F%2Fsourceforge.net%2Fprojects%2Feraser%2F%3Fsource%3Dtyp_redirect"|"\\{S-1-5-21-2801897208-1878083585-4182000528-1003}\LS\Microsoft.MicrosoftEdge_8wekyb3d8bbwe\spartan history\https%3A%2F%2Fsourceforge.net%2Fprojects%2Feraser%2F%3Fsource%3Dtyp_redirect"|"https%3A%2F%2Fsourceforge.net%2Fprojects%2Feraser%2F%3Fsource%3Dtyp_redirect (\\{S-1-5-21-2801897208-1878083585-4182000528-1003}\LS\Microsoft.MicrosoftEdge_8wekyb3d8bbwe\spartan history)"|"26/04/2018 12:39:51.9700000"|"https://sourceforge.net/projects/eraser/?source=typ_redirect"|"4194304"|"0"|"26/04/2018 18:39:54.5171413"|"0"|"winrt"|"Eraser download | SourceForge.net"|"3470"
