0F-InvertedOnlyMD5|0-InvertedOnlyPids|11-System_FileName|13F-System_Size|14F-System_FileAttributes|15F-System_DateModified|16F-System_DateCreated|17F-System_DateAccessed|33-System_ItemUrl|3-System_ItemFolderNameDisplay|4346-System_DateImported|4352-System_Document_DateCreated|4354-System_Document_DateSaved|4373-System_FileExtension|4378-System_FilePlaceholderStatus|4410-System_IsAttachment|4412-System_IsEncrypted|4415-System_IsFolder|4419-System_ItemDate|4421-System_ItemFolderPathDisplay|4422-System_ItemFolderPathDisplayNarrow|4423-System_ItemName|4424-System_ItemNameDisplay|4425-System_ItemNameDisplayWithoutExtension|4428-System_ItemPathDisplay|4429-System_ItemPathDisplayNarrow|4431-System_ItemType|4546-System_ParsingName|4604-System_SFGAOFlags|4605-System_Search_AccessCount|4612F-System_Search_GatherTime|4614-System_Search_LastIndexedTotalTime|4618-System_Search_Store|4655-System_ThumbnailCacheId|5-System_ItemTypeText|WorkID
"ED96BA62E336C1C9E8690FE37A99D234"|"15124E12"|"README.md"|"60"|"32"|"19/03/2018 16:14:28.7978952"|"19/03/2018 16:14:28.7969071"|"19/03/2018 16:14:28.7969071"|"file:C:/Users/maxpowers/.atom/packages/README.md"|"packages"|"19/03/2018 16:14:28.7978952"|"19/03/2018 16:14:28.7978952"|"19/03/2018 16:14:28.7978952"|".md"|"6"|"False"|"False"|"False"|"19/03/2018 16:14:28.7978952"|"C:\Users\maxpowers\.atom\packages"|"packages (C:\Users\maxpowers\.atom)"|"README.md"|"README.md"|"README"|"C:\Users\maxpowers\.atom\packages\README.md"|"README (C:\Users\maxpowers\.atom\packages)"|".md"|"README.md"|"1077936503"|"0"|"19/03/2018 16:14:53.7666205"|"0,015625"|"file"|"9904E8622CCECE7F"|"MD File"|"2337"
"ED96BA62E336C1C9E8690FE37A99D234"|"15124E12"|"README.md"|"8254"|"32"|"25/03/2018 15:52:22.0000000"|"11/04/2018 16:09:16.9305659"|"11/04/2018 16:09:16.9305659"|"file:C:/Users/maxpowers/.rustup/toolchains/stable-x86_64-pc-windows-msvc/share/doc/rust/README.md"|"rust"|"25/03/2018 15:52:22.0000000"|"25/03/2018 15:52:22.0000000"|"25/03/2018 15:52:22.0000000"|".md"|"6"|"False"|"False"|"False"|"25/03/2018 15:52:22.0000000"|"C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust"|"rust (C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc)"|"README.md"|"README.md"|"README"|"C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\README.md"|"README (C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust)"|".md"|"README.md"|"1077936503"|"0"|"11/04/2018 16:16:23.8836524"|"0"|"file"|"022E585372596556"|"MD File"|"2628"
"ED96BA62E336C1C9E8690FE37A99D234"|"15124E12"|"README.md"|"2556"|"32"|"25/03/2018 16:04:17.0000000"|"11/04/2018 16:09:31.2586565"|"11/04/2018 16:09:31.2586565"|"file:C:/Users/maxpowers/.rustup/toolchains/stable-x86_64-pc-windows-msvc/share/doc/cargo/README.md"|"cargo"|"25/03/2018 16:04:17.0000000"|"25/03/2018 16:04:17.0000000"|"25/03/2018 16:04:17.0000000"|".md"|"6"|"False"|"False"|"False"|"25/03/2018 16:04:17.0000000"|"C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\cargo"|"cargo (C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc)"|"README.md"|"README.md"|"README"|"C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\cargo\README.md"|"README (C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\cargo)"|".md"|"README.md"|"1077936503"|"0"|"11/04/2018 16:16:23.1336479"|"0,015625"|"file"|"82A2B5E68FE7FC05"|"MD File"|"2720"
