0F-InvertedOnlyMD5,0-InvertedOnlyPids,11-System_FileName,13F-System_Size,14F-System_FileAttributes,15F-System_DateModified,16F-System_DateCreated,17F-System_DateAccessed,33-System_ItemUrl,3-System_ItemFolderNameDisplay,4346-System_DateImported,4352-System_Document_DateCreated,4354-System_Document_DateSaved,4373-System_FileExtension,4378-System_FilePlaceholderStatus,4410-System_IsAttachment,4412-System_IsEncrypted,4415-System_IsFolder,4419-System_ItemDate,4421-System_ItemFolderPathDisplay,4422-System_ItemFolderPathDisplayNarrow,4423-System_ItemName,4424-System_ItemNameDisplay,4425-System_ItemNameDisplayWithoutExtension,4428-System_ItemPathDisplay,4429-System_ItemPathDisplayNarrow,4431-System_ItemType,4546-System_ParsingName,4604-System_SFGAOFlags,4605-System_Search_AccessCount,4612F-System_Search_GatherTime,4614-System_Search_LastIndexedTotalTime,4618-System_Search_Store,4655-System_ThumbnailCacheId,5-System_ItemTypeText,WorkID
"FAA784D6D0FAC6BFF47E656DCDD89D81","15124E12","ntuser.dat.LOG1","568320","Hidden, System, Archive (38)","13/03/2018 18:07:10.6760193","13/03/2018 18:07:10.6760193","13/03/2018 18:07:10.6760193","file:C:/Users/maxpowers/ntuser.dat.LOG1","maxpowers","13/03/2018 18:07:10.6760193","13/03/2018 18:07:10.6760193","13/03/2018 18:07:10.6760193",".LOG1","6","False","False","False","13/03/2018 18:07:10.6760193","C:\Users\maxpowers","maxpowers (C:\Users)","ntuser.dat.LOG1","ntuser.dat.LOG1","ntuser.dat","C:\Users\maxpowers\ntuser.dat.LOG1","ntuser.dat (C:\Users\maxpowers)",".LOG1","ntuser.dat.LOG1","1079546231","0","13/03/2018 18:17:33.2254743","0,015625","file","0439DA26408105AB","LOG1 File","52"
"FAA784D6D0FAC6BFF47E656DCDD89D81","15124E12","ntuser.dat.LOG1","32768","Hidden, System, Archive (38)","13/03/2018 18:07:11.5526185","13/03/2018 18:07:11.5526185","13/03/2018 18:07:11.5526185","file:C:/Users/defaultuser0/ntuser.dat.LOG1","defaultuser0","13/03/2018 18:07:11.5526185","13/03/2018 18:07:11.5526185","13/03/2018 18:07:11.5526185",".LOG1","6","False","False","False","13/03/2018 18:07:11.5526185","C:\Users\defaultuser0","defaultuser0 (C:\Users)","ntuser.dat.LOG1","ntuser.dat.LOG1","ntuser.dat","C:\Users\defaultuser0\ntuser.dat.LOG1","ntuser.dat (C:\Users\defaultuser0)",".LOG1","ntuser.dat.LOG1","1079546231","0","13/03/2018 18:17:33.1004668","0","file","220613A7DBE5839E","LOG1 File","980"
"FAA784D6D0FAC6BFF47E656DCDD89D81","15124E12","NTUSER.DAT.LOG1","110592","Hidden, System, Archive (38)","29/09/2017 08:45:11.9144993","29/09/2017 08:45:11.9144993","29/09/2017 08:45:11.9144993","file:C:/Users/Default/NTUSER.DAT.LOG1","Default","29/09/2017 08:45:11.9144993","29/09/2017 08:45:11.9144993","29/09/2017 08:45:11.9144993",".LOG1","6","False","False","False","29/09/2017 08:45:11.9144993","C:\Users\Default","Default (C:\Users)","NTUSER.DAT.LOG1","NTUSER.DAT.LOG1","NTUSER.DAT","C:\Users\Default\NTUSER.DAT.LOG1","NTUSER.DAT (C:\Users\Default)",".LOG1","NTUSER.DAT.LOG1","1079546231","0","13/03/2018 18:17:33.0536600","0","file","53B93C73443373A3","LOG1 File","1011"
"FAA784D6D0FAC6BFF47E656DCDD89D81","15124E12","ntuser.dat.LOG1","28672","Hidden, System, Archive (38)","13/03/2018 18:07:09.7696343","13/03/2018 18:07:09.7696343","13/03/2018 18:07:09.7696343","file:C:/Users/Administrator/ntuser.dat.LOG1","Administrator","13/03/2018 18:07:09.7696343","13/03/2018 18:07:09.7696343","13/03/2018 18:07:09.7696343",".LOG1","6","False","False","False","13/03/2018 18:07:09.7696343","C:\Users\Administrator","Administrator (C:\Users)","ntuser.dat.LOG1","ntuser.dat.LOG1","ntuser.dat","C:\Users\Administrator\ntuser.dat.LOG1","ntuser.dat (C:\Users\Administrator)",".LOG1","ntuser.dat.LOG1","1079546231","0","13/03/2018 18:17:32.9602445","0,015625","file","C8BC06A02234B42C","LOG1 File","1114"
"FAA784D6D0FAC6BFF47E656DCDD89D81","15124E12","ntuser.dat.LOG1","167936","Hidden, System, Archive (38)","26/04/2018 18:22:30.3139758","26/04/2018 18:22:30.3139758","26/04/2018 18:22:30.3139758","file:C:/Users/itsupport/ntuser.dat.LOG1","itsupport","26/04/2018 18:22:30.3139758","26/04/2018 18:22:30.3139758","26/04/2018 18:22:30.3139758",".LOG1","6","False","False","False","26/04/2018 18:22:30.3139758","C:\Users\itsupport","itsupport (C:\Users)","ntuser.dat.LOG1","ntuser.dat.LOG1","ntuser.dat","C:\Users\itsupport\ntuser.dat.LOG1","ntuser.dat (C:\Users\itsupport)",".LOG1","ntuser.dat.LOG1","1079546231","0","26/04/2018 19:11:19.2669449","0,03125","file","86B877FE81739CD6","LOG1 File","3572"
