0F-InvertedOnlyMD5,0-InvertedOnlyPids,11-System_FileName,13F-System_Size,14F-System_FileAttributes,15F-System_DateModified,16F-System_DateCreated,17F-System_DateAccessed,33-System_ItemUrl,3-System_ItemFolderNameDisplay,4363-System_DateImported,4369-System_Document_DateCreated,4371-System_Document_DateSaved,4395-System_FilePlaceholderStatus,4427-System_IsAttachment,4429-System_IsEncrypted,4432-System_IsFolder,4436-System_ItemDate,4438-System_ItemFolderPathDisplay,4439-System_ItemFolderPathDisplayNarrow,4440-System_ItemName,4441-System_ItemNameDisplay,4442-System_ItemNameDisplayWithoutExtension,4445-System_ItemPathDisplay,4446-System_ItemPathDisplayNarrow,4448-System_ItemType,4563-System_ParsingName,4621-System_SFGAOFlags,4622-System_Search_AccessCount,4629F-System_Search_GatherTime,4631-System_Search_LastIndexedTotalTime,4635-System_Search_Store,4676-System_ThumbnailCacheId,5-System_ItemTypeText,WorkID
"01EF974142FD51D932A8113B5F15463A","26126312","My_Files","26214400","Archive (32)","29/08/2017 21:00:18.0000000","28/08/2019 07:09:16.5074587","24/09/2019 02:54:23.9849916","file:C:/Users/Professor Moriarty/Documents/My_Files","Documents","29/08/2017 21:00:18.0000000","29/08/2017 21:00:18.0000000","29/08/2017 21:00:18.0000000","6","False","False","False","29/08/2017 21:00:18.0000000","C:\Users\Professor Moriarty\Documents","Documents (C:\Users\Professor Moriarty)","My_Files","My_Files","My_Files","C:\Users\Professor Moriarty\Documents\My_Files","My_Files (C:\Users\Professor Moriarty\Documents)",".","My_Files","1077936503","0","24/09/2019 05:33:41.9150692","0,046875","file","E514E2039F74FB92","File","2147"
"1605575B778F33275B035176FFFAC9EA","26126312","My_Protected_Files","26214400","Archive (32)","29/08/2017 21:35:30.0000000","28/08/2019 07:30:45.0201730","01/10/2019 18:57:50.5604445","file:C:/Users/Professor Moriarty/Downloads/Springer_10.1007/My_Protected_Files","Springer_10.1007","29/08/2017 21:35:30.0000000","29/08/2017 21:35:30.0000000","29/08/2017 21:35:30.0000000","6","False","False","False","29/08/2017 21:35:30.0000000","C:\Users\Professor Moriarty\Downloads\Springer_10.1007","Springer_10.1007 (C:\Users\Professor Moriarty\Downloads)","My_Protected_Files","My_Protected_Files","My_Protected_Files","C:\Users\Professor Moriarty\Downloads\Springer_10.1007\My_Protected_Files","My_Protected_Files (C:\Users\Professor Moriarty\Downloads\Springer_10.1007)",".","My_Protected_Files","1077936503","0","01/10/2019 20:59:39.9730914","0","file","519BF6B7FF7FEB66","File","2150"
"2A23047FB31DD3E4602AA6596A1E7465","26126312","Personal","26214400","Archive (32)","29/08/2017 21:14:30.0000000","28/08/2019 07:37:06.6568377","28/09/2019 08:14:50.5378472","file:C:/Users/Professor Moriarty/Downloads/Personal","Downloads","29/08/2017 21:14:30.0000000","29/08/2017 21:14:30.0000000","29/08/2017 21:14:30.0000000","6","False","False","False","29/08/2017 21:14:30.0000000","C:\Users\Professor Moriarty\Downloads","Downloads (C:\Users\Professor Moriarty)","Personal","Personal","Personal","C:\Users\Professor Moriarty\Downloads\Personal","Personal (C:\Users\Professor Moriarty\Downloads)",".","Personal","1077936503","0","28/09/2019 09:02:35.8873994","0","file","416976E64DE3B099","File","2151"
"7C6E794D08E6A7EB5680B032DA33EE3D","26126312","Getting started","1560010","Archive (32)","11/09/2019 05:32:35.0000000","20/09/2019 07:18:51.8179413","11/09/2019 05:32:35.0000000","file:C:/Users/Professor Moriarty/Google Drive/Getting started","Google Drive","11/09/2019 05:32:35.0000000","11/09/2019 05:32:35.0000000","11/09/2019 05:32:35.0000000","6","False","False","False","11/09/2019 05:32:35.0000000","C:\Users\Professor Moriarty\Google Drive","Google Drive (C:\Users\Professor Moriarty)","Getting started","Getting started","Getting started","C:\Users\Professor Moriarty\Google Drive\Getting started","Getting started (C:\Users\Professor Moriarty\Google Drive)",".","Getting started","1077936503","0","20/09/2019 07:18:56.3222361","0","file","424542383FD8EE3B","File","2803"
"62A7D9C9A1134BAA0C9BA35810865D8A","26126312","Personal Key","64","Archive (32)","29/08/2017 21:10:10.0000000","28/09/2019 08:17:05.7694107","28/09/2019 08:17:14.1888386","file:C:/Users/Professor Moriarty/Downloads/eMule/Personal Key","eMule","29/08/2017 21:10:10.0000000","29/08/2017 21:10:10.0000000","29/08/2017 21:10:10.0000000","6","False","False","False","29/08/2017 21:10:10.0000000","C:\Users\Professor Moriarty\Downloads\eMule","eMule (C:\Users\Professor Moriarty\Downloads)","Personal Key","Personal Key","Personal Key","C:\Users\Professor Moriarty\Downloads\eMule\Personal Key","Personal Key (C:\Users\Professor Moriarty\Downloads\eMule)",".","Personal Key","1077936503","0","28/09/2019 08:17:35.5687846","0","file","DFCC185BD368D31F","File","3852"
"CD8AA97EED3F842B4AAE349C44E7742F","26126312","lock","0","Archive (32)","30/09/2019 00:30:53.7911328","30/09/2019 00:30:53.7911328","30/09/2019 00:30:53.7911328","file:C:/Users/Professor Moriarty/Documents/MEGA/Rubbish/tmp/lock","tmp","30/09/2019 00:30:53.7911328","30/09/2019 00:30:53.7911328","30/09/2019 00:30:53.7911328","6","False","False","False","30/09/2019 00:30:53.7911328","C:\Users\Professor Moriarty\Documents\MEGA\Rubbish\tmp","tmp (C:\Users\Professor Moriarty\Documents\MEGA\Rubbish)","lock","lock","lock","C:\Users\Professor Moriarty\Documents\MEGA\Rubbish\tmp\lock","lock (C:\Users\Professor Moriarty\Documents\MEGA\Rubbish\tmp)",".","lock","1077936503","0","01/10/2019 00:16:39.1273373","0,015625","file","FD0B8A0ECBA45E20","File","4168"
"DDCE18E71819D46D7C278D4B870980DD","26126312","Project Gutenberg - Hound of the Baskervilles","285458","Archive (32)","01/10/2019 18:15:17.7621719","01/10/2019 18:16:58.3066266","01/10/2019 18:33:30.7530524","file:C:/Users/Professor Moriarty/Documents/fsa/Project Gutenberg - Hound of the Baskervilles","fsa","01/10/2019 18:15:17.7621719","01/10/2019 18:15:17.7621719","01/10/2019 18:15:17.7621719","6","False","False","False","01/10/2019 18:15:17.7621719","C:\Users\Professor Moriarty\Documents\fsa","fsa (C:\Users\Professor Moriarty\Documents)","Project Gutenberg - Hound of the Baskervilles","Project Gutenberg - Hound of the Baskervilles","Project Gutenberg - Hound of the Baskervilles","C:\Users\Professor Moriarty\Documents\fsa\Project Gutenberg - Hound of the Baskervilles","Project Gutenberg - Hound of the Baskervilles (C:\Users\Professor Moriarty\Documents\fsa)",".","Project Gutenberg - Hound of the Baskervilles","1077936503","0","01/10/2019 18:36:31.3495645","0","file","146D1511C6AE543F","File","5075"
