0F-InvertedOnlyMD5,0-InvertedOnlyPids,11-System_FileName,13F-System_Size,14F-System_FileAttributes,15F-System_DateModified,16F-System_DateCreated,17F-System_DateAccessed,33-System_ItemUrl,3-System_ItemFolderNameDisplay,4363-System_DateImported,4369-System_Document_DateCreated,4371-System_Document_DateSaved,4390-System_FileExtension,4395-System_FilePlaceholderStatus,4427-System_IsAttachment,4429-System_IsEncrypted,4432-System_IsFolder,4436-System_ItemDate,4438-System_ItemFolderPathDisplay,4439-System_ItemFolderPathDisplayNarrow,4440-System_ItemName,4441-System_ItemNameDisplay,4442-System_ItemNameDisplayWithoutExtension,4445-System_ItemPathDisplay,4446-System_ItemPathDisplayNarrow,4448-System_ItemType,4563-System_ParsingName,4621-System_SFGAOFlags,4622-System_Search_AccessCount,4629F-System_Search_GatherTime,4631-System_Search_LastIndexedTotalTime,4635-System_Search_Store,4676-System_ThumbnailCacheId,5-System_ItemTypeText,WorkID
"BD4C371FD7B390458D20D521AD0DF048","26126312","ReactOS.vhdx","4194304","Archive (32)","11/09/2019 04:25:42.0134230","11/09/2019 03:59:51.3686119","11/09/2019 04:25:42.0134230","file:C:/Users/Public/Documents/Hyper-V/Virtual hard disks/ReactOS.vhdx","Virtual hard disks","11/09/2019 03:59:52.0000000","11/09/2019 03:59:52.0000000","11/09/2019 04:25:42.0134230",".vhdx","6","False","False","False","11/09/2019 03:59:52.0000000","C:\Users\Public\Public Documents\Hyper-V\Virtual hard disks","Virtual hard disks (C:\Users\Public\Public Documents\Hyper-V)","ReactOS.vhdx","ReactOS.vhdx","ReactOS","C:\Users\Public\Public Documents\Hyper-V\Virtual hard disks\ReactOS.vhdx","ReactOS (C:\Users\Public\Public Documents\Hyper-V\Virtual hard disks)",".vhdx","ReactOS.vhdx","1077936503","0","11/09/2019 04:50:47.4769759","0","file","22F8648328820086","Hard Disk Image File","2416"
"9CCCD3F6A547D2FEF2C270D81AB18ECD","26126312","Kali Linux.vhdx","4194304","Archive (32)","11/09/2019 04:52:23.5562260","11/09/2019 04:52:23.3581726","11/09/2019 04:52:23.5562260","file:C:/Users/Public/Documents/Hyper-V/Virtual hard disks/Kali Linux.vhdx","Virtual hard disks","11/09/2019 04:52:23.5562260","11/09/2019 04:52:23.5562260","11/09/2019 04:52:23.5562260",".vhdx","6","False","False","False","11/09/2019 04:52:23.5562260","C:\Users\Public\Public Documents\Hyper-V\Virtual hard disks","Virtual hard disks (C:\Users\Public\Public Documents\Hyper-V)","Kali Linux.vhdx","Kali Linux.vhdx","Kali Linux","C:\Users\Public\Public Documents\Hyper-V\Virtual hard disks\Kali Linux.vhdx","Kali Linux (C:\Users\Public\Public Documents\Hyper-V\Virtual hard disks)",".vhdx","Kali Linux.vhdx","1077936503","0","11/09/2019 04:52:26.6815576","0","file","993EAC03013975CF","Hard Disk Image File","2425"
"97C4B34D06EE8D464E591E3E176F1939","26126312","Peppermint Linux.vhdx","4194304","Archive (32)","28/09/2019 07:02:30.9226755","28/09/2019 06:53:38.2633674","28/09/2019 07:48:55.8723919","file:C:/Users/Public/Documents/Hyper-V/Virtual hard disks/Peppermint Linux.vhdx","Virtual hard disks","28/09/2019 06:53:40.0000000","28/09/2019 06:53:40.0000000","28/09/2019 07:02:30.9226755",".vhdx","6","False","False","False","28/09/2019 06:53:40.0000000","C:\Users\Public\Public Documents\Hyper-V\Virtual hard disks","Virtual hard disks (C:\Users\Public\Public Documents\Hyper-V)","Peppermint Linux.vhdx","Peppermint Linux.vhdx","Peppermint Linux","C:\Users\Public\Public Documents\Hyper-V\Virtual hard disks\Peppermint Linux.vhdx","Peppermint Linux (C:\Users\Public\Public Documents\Hyper-V\Virtual hard disks)",".vhdx","Peppermint Linux.vhdx","1077936503","0","28/09/2019 08:39:48.5101409","0,109375","file","B615310320450155","Hard Disk Image File","3836"
