0F-InvertedOnlyMD5,0-InvertedOnlyPids,11-System_FileName,13F-System_Size,14F-System_FileAttributes,15F-System_DateModified,16F-System_DateCreated,17F-System_DateAccessed,33-System_ItemUrl,3-System_ItemFolderNameDisplay,4363-System_DateImported,4369-System_Document_DateCreated,4371-System_Document_DateSaved,4390-System_FileExtension,4395-System_FilePlaceholderStatus,4427-System_IsAttachment,4429-System_IsEncrypted,4432-System_IsFolder,4436-System_ItemDate,4438-System_ItemFolderPathDisplay,4439-System_ItemFolderPathDisplayNarrow,4440-System_ItemName,4441-System_ItemNameDisplay,4445-System_ItemPathDisplay,4446-System_ItemPathDisplayNarrow,4448-System_ItemType,4563-System_ParsingName,4621-System_SFGAOFlags,4622-System_Search_AccessCount,4629F-System_Search_GatherTime,4631-System_Search_LastIndexedTotalTime,4635-System_Search_Store,4672-System_SyncTransferStatusFlags,4676-System_ThumbnailCacheId,5-System_ItemTypeText,WorkID
"3EAC8449056A042ACD93397D2936B41B","26126312",".dropbox","36","Hidden, Archive (34)","09/09/2019 04:34:47.7302541","09/09/2019 04:34:47.7302541","09/09/2019 04:34:51.1724332","file:C:/Users/Professor Moriarty/Dropbox/.dropbox","Dropbox","09/09/2019 04:34:47.7302541","09/09/2019 04:34:47.7302541","09/09/2019 04:34:47.7302541",".dropbox","6","False","False","False","09/09/2019 04:34:47.7302541","C:\Users\Professor Moriarty\Dropbox","Dropbox (C:\Users\Professor Moriarty)",".dropbox",".dropbox","C:\Users\Professor Moriarty\Dropbox\.dropbox","Dropbox\ (C:\Users\Professor Moriarty)",".dropbox",".dropbox","1079542135","0","09/09/2019 04:35:06.9058408","0","file","1","9691C0CBFEEA7417","DROPBOX File","2246"
"3EAC8449056A042ACD93397D2936B41B","26126312",".dropbox","24","Hidden, Archive (34)","11/09/2019 05:39:58.8742815","11/09/2019 05:39:58.8724286","11/09/2019 05:40:03.0302974","file:C:/Users/Professor Moriarty/Dropbox/Camera Uploads/.dropbox","Camera Uploads","11/09/2019 05:39:58.8742815","11/09/2019 05:39:58.8742815","11/09/2019 05:39:58.8742815",".dropbox","6","False","False","False","11/09/2019 05:39:58.8742815","C:\Users\Professor Moriarty\Dropbox\Camera Uploads","Camera Uploads (C:\Users\Professor Moriarty\Dropbox)",".dropbox",".dropbox","C:\Users\Professor Moriarty\Dropbox\Camera Uploads\.dropbox","Camera Uploads\ (C:\Users\Professor Moriarty\Dropbox)",".dropbox",".dropbox","1079542135","0","11/09/2019 05:40:05.7342516","0,03125","file","1","320D4680F18CB3EF","DROPBOX File","2460"
"3EAC8449056A042ACD93397D2936B41B","26126312",".dropbox","24","Hidden, Archive (34)","11/09/2019 05:39:58.8742815","20/09/2019 07:20:46.8552634","20/09/2019 07:20:46.8552634","file:C:/Users/Professor Moriarty/Google Drive/Camera Uploads/.dropbox","Camera Uploads","11/09/2019 05:39:58.8742815","11/09/2019 05:39:58.8742815","11/09/2019 05:39:58.8742815",".dropbox","6","False","False","False","11/09/2019 05:39:58.8742815","C:\Users\Professor Moriarty\Google Drive\Camera Uploads","Camera Uploads (C:\Users\Professor Moriarty\Google Drive)",".dropbox",".dropbox","C:\Users\Professor Moriarty\Google Drive\Camera Uploads\.dropbox","Camera Uploads\ (C:\Users\Professor Moriarty\Google Drive)",".dropbox",".dropbox","1079542135","0","20/09/2019 07:22:14.2221268","0,015625","file",,"789AC1D6B9EE660B","DROPBOX File","2873"
"3EAC8449056A042ACD93397D2936B41B","26126312",".dropbox","24","Hidden, Archive (34)","11/09/2019 05:39:58.8742815","27/09/2019 22:46:15.0042243","27/09/2019 22:46:24.2434420","file:C:/Users/Professor Moriarty/iCloudDrive/Camera Uploads/.dropbox","Camera Uploads","11/09/2019 05:39:58.8742815","11/09/2019 05:39:58.8742815","11/09/2019 05:39:58.8742815",".dropbox","6","False","False","False","11/09/2019 05:39:58.8742815","C:\Users\Professor Moriarty\iCloud Drive\Camera Uploads","Camera Uploads (C:\Users\Professor Moriarty\iCloud Drive)",".dropbox",".dropbox","C:\Users\Professor Moriarty\iCloud Drive\Camera Uploads\.dropbox","Camera Uploads\ (C:\Users\Professor Moriarty\iCloud Drive)",".dropbox",".dropbox","1079542135","0","27/09/2019 22:47:50.8092184","0,015625","file",,"057C91A4EC64A09A","DROPBOX File","3695"
"3EAC8449056A042ACD93397D2936B41B","26126312",".dropbox","24","Hidden, Archive (34)","11/09/2019 05:39:58.8742815","30/09/2019 03:55:50.3449553","30/09/2019 23:09:36.9605798","file:C:/Users/Professor Moriarty/Documents/MEGA/Camera Uploads/.dropbox","Camera Uploads","11/09/2019 05:39:58.8742815","11/09/2019 05:39:58.8742815","11/09/2019 05:39:58.8742815",".dropbox","6","False","False","False","11/09/2019 05:39:58.8742815","C:\Users\Professor Moriarty\Documents\MEGA\Camera Uploads","Camera Uploads (C:\Users\Professor Moriarty\Documents\MEGA)",".dropbox",".dropbox","C:\Users\Professor Moriarty\Documents\MEGA\Camera Uploads\.dropbox","Camera Uploads\ (C:\Users\Professor Moriarty\Documents\MEGA)",".dropbox",".dropbox","1079542135","0","01/10/2019 00:16:39.1117052","0,015625","file",,"3A72081584EA673A","DROPBOX File","4176"
