0F-InvertedOnlyMD5,0-InvertedOnlyPids,11-System_FileName,13F-System_Size,14F-System_FileAttributes,15F-System_DateModified,16F-System_DateCreated,17F-System_DateAccessed,33-System_ItemUrl,3-System_ItemFolderNameDisplay,4334-System_ContentType,4346-System_DateImported,4352-System_Document_DateCreated,4354-System_Document_DateSaved,4373-System_FileExtension,4378-System_FilePlaceholderStatus,4410-System_IsAttachment,4412-System_IsEncrypted,4415-System_IsFolder,4419-System_ItemDate,4421-System_ItemFolderPathDisplay,4422-System_ItemFolderPathDisplayNarrow,4423-System_ItemName,4424-System_ItemNameDisplay,4425-System_ItemNameDisplayWithoutExtension,4428-System_ItemPathDisplay,4429-System_ItemPathDisplayNarrow,4431-System_ItemType,4437-System_Kind,4438-System_KindText,4453-System_MIMEType,4546-System_ParsingName,4604-System_SFGAOFlags,4605-System_Search_AccessCount,4612F-System_Search_GatherTime,4614-System_Search_LastIndexedTotalTime,4618-System_Search_Store,4655-System_ThumbnailCacheId,5-System_ItemTypeText,WorkID
"EA65D89B5372D2D45053C74AEFC76389","15124E12","intrinsic.natvis","776","Archive (32)","25/03/2018 15:52:22.0000000","11/04/2018 16:09:16.7274367","11/04/2018 16:09:16.7274367","file:C:/Users/maxpowers/.rustup/toolchains/stable-x86_64-pc-windows-msvc/lib/rustlib/etc/intrinsic.natvis","etc","text/xml","25/03/2018 15:52:22.0000000","25/03/2018 15:52:22.0000000","25/03/2018 15:52:22.0000000",".natvis","6","False","False","False","25/03/2018 15:52:22.0000000","C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\lib\rustlib\etc","etc (C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\lib\rustlib)","intrinsic.natvis","intrinsic.natvis","intrinsic","C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\lib\rustlib\etc\intrinsic.natvis","intrinsic (C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\lib\rustlib\etc)",".natvis","document","Document","text/xml","intrinsic.natvis","1077936503","0","11/04/2018 16:16:24.8992399","0,015625","file","D07FCEF013B35A39","VC++ Debugger Visualization File","2615"
"B15B770E82DBE4A459F24A66ED96EC4C","15124E12","liballoc.natvis","2139","Archive (32)","25/03/2018 15:52:22.0000000","11/04/2018 16:09:16.7274367","11/04/2018 16:09:16.7274367","file:C:/Users/maxpowers/.rustup/toolchains/stable-x86_64-pc-windows-msvc/lib/rustlib/etc/liballoc.natvis","etc","text/xml","25/03/2018 15:52:22.0000000","25/03/2018 15:52:22.0000000","25/03/2018 15:52:22.0000000",".natvis","6","False","False","False","25/03/2018 15:52:22.0000000","C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\lib\rustlib\etc","etc (C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\lib\rustlib)","liballoc.natvis","liballoc.natvis","liballoc","C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\lib\rustlib\etc\liballoc.natvis","liballoc (C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\lib\rustlib\etc)",".natvis","document","Document","text/xml","liballoc.natvis","1077936503","0","11/04/2018 16:16:24.8837289","0","file","58DCCEC60C034735","VC++ Debugger Visualization File","2616"
"3979321AFE7138895D8F57766D99ADAC","15124E12","libcore.natvis","1625","Archive (32)","25/03/2018 15:52:22.0000000","11/04/2018 16:09:16.7274367","11/04/2018 16:09:16.7274367","file:C:/Users/maxpowers/.rustup/toolchains/stable-x86_64-pc-windows-msvc/lib/rustlib/etc/libcore.natvis","etc","text/xml","25/03/2018 15:52:22.0000000","25/03/2018 15:52:22.0000000","25/03/2018 15:52:22.0000000",".natvis","6","False","False","False","25/03/2018 15:52:22.0000000","C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\lib\rustlib\etc","etc (C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\lib\rustlib)","libcore.natvis","libcore.natvis","libcore","C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\lib\rustlib\etc\libcore.natvis","libcore (C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\lib\rustlib\etc)",".natvis","document","Document","text/xml","libcore.natvis","1077936503","0","11/04/2018 16:16:24.8837289","0","file","C15612711E4E11B8","VC++ Debugger Visualization File","2617"
