0F-InvertedOnlyMD5,0-InvertedOnlyPids,11-System_FileName,13F-System_Size,14F-System_FileAttributes,15F-System_DateModified,16F-System_DateCreated,17F-System_DateAccessed,33-System_ItemUrl,3-System_ItemFolderNameDisplay,4147-System_Audio_ChannelCount,4148-System_Audio_EncodingBitrate,4149-System_Audio_Format,4151-System_Audio_SampleRate,4152-System_Audio_SampleSize,4182-System_ComputerName,4351-System_ContentType,4357-System_DRM_IsProtected,4363-System_DateImported,4369-System_Document_DateCreated,4371-System_Document_DateSaved,4390-System_FileExtension,4394-System_FileOwner,4395-System_FilePlaceholderStatus,4427-System_IsAttachment,4429-System_IsEncrypted,4432-System_IsFolder,4436-System_ItemDate,4438-System_ItemFolderPathDisplay,4439-System_ItemFolderPathDisplayNarrow,4440-System_ItemName,4441-System_ItemNameDisplay,4442-System_ItemNameDisplayWithoutExtension,4445-System_ItemPathDisplay,4446-System_ItemPathDisplayNarrow,4448-System_ItemType,4454-System_Kind,4455-System_KindText,4470-System_MIMEType,4484-System_Media_Duration,4557-System_NotUserContent,4563-System_ParsingName,4621-System_SFGAOFlags,4622-System_Search_AccessCount,4629F-System_Search_GatherTime,4631-System_Search_LastIndexedTotalTime,4635-System_Search_Store,4653-System_SoftwareUsed,4676-System_ThumbnailCacheId,4685-System_Video_Compression,4687-System_Video_EncodingBitrate,4688-System_Video_FourCC,4689-System_Video_FrameHeight,4690-System_Video_FrameRate,4691-System_Video_FrameWidth,4692-System_Video_HorizontalAspectRatio,4695-System_Video_Orientation,4698-System_Video_TotalBitrate,4699-System_Video_VerticalAspectRatio,4700-System_VolumeId,5-System_ItemTypeText,WorkID
"212039C47CAC0B525A3F61FA524C867E","26126312","ifn-kwipp.avi","732995584","Archive, Sparse_File (544)","28/09/2019 07:15:47.1326836","24/09/2019 04:07:32.3895109","28/09/2019 07:15:48.5844926","file:C:/Users/Professor Moriarty/Downloads/Katt.Williams.Its.Pimpin.Pimpin.2008.DVDRiP.XVID-iFN/ifn-kwipp.avi","Katt.Williams.Its.Pimpin.Pimpin.2008.DVDRiP.XVID-iFN","2","133656","{00000055-0000-0010-8000-00AA00389B71}","48000","16","DESKTOP-HL2LCVA","video/avi","False","24/09/2019 04:07:34.0000000","24/09/2019 04:07:34.0000000","28/09/2019 07:15:47.1326836",".avi","DESKTOP-HL2LCVA\Professor Moriarty","6","False","False","False","24/09/2019 04:07:34.0000000","C:\Users\Professor Moriarty\Downloads\Katt.Williams.Its.Pimpin.Pimpin.2008.DVDRiP.XVID-iFN","Katt.Williams.Its.Pimpin.Pimpin.2008.DVDRiP.XVID-iFN (C:\Users\Professor Moriarty\Downloads)","ifn-kwipp.avi","ifn-kwipp.avi","ifn-kwipp","C:\Users\Professor Moriarty\Downloads\Katt.Williams.Its.Pimpin.Pimpin.2008.DVDRiP.XVID-iFN\ifn-kwipp.avi","ifn-kwipp (C:\Users\Professor Moriarty\Downloads\Katt.Williams.Its.Pimpin.Pimpin.2008.DVDRiP.XVID-iFN)",".avi","video","Video","video/avi","00:01:17:48 (46680680680)","False","ifn-kwipp.avi","1077936503","0","28/09/2019 07:47:24.2040870","0,015625","file","Nandub v1.0rc2","C6882E083E434A8A","{5634504D-0000-0010-8000-00AA00389B71}","1122530","1446269005","368","29970","640","1","0","1256186","1","eda0f2ba-fb47-4cd4-b875-e076904e8ed9","Video Clip","3979"
"517D09DB98B46F4FE4EBFCB7593BFA4C","26126312","ifn-sample.avi","7749632","Archive (32)","24/09/2019 05:15:32.4666635","24/09/2019 04:07:37.8845708","24/09/2019 05:18:10.5839380","file:C:/Users/Professor Moriarty/Downloads/Katt.Williams.Its.Pimpin.Pimpin.2008.DVDRiP.XVID-iFN/sample/ifn-sample.avi","sample","2","133656","{00000055-0000-0010-8000-00AA00389B71}","48000","16","DESKTOP-HL2LCVA","video/avi","False","24/09/2019 04:07:38.0000000","24/09/2019 04:07:38.0000000","24/09/2019 05:15:32.4666635",".avi","DESKTOP-HL2LCVA\Professor Moriarty","6","False","False","False","24/09/2019 04:07:38.0000000","C:\Users\Professor Moriarty\Downloads\Katt.Williams.Its.Pimpin.Pimpin.2008.DVDRiP.XVID-iFN\sample","sample (C:\Users\Professor Moriarty\Downloads\Katt.Williams.Its.Pimpin.Pimpin.2008.DVDRiP.XVID-iFN)","ifn-sample.avi","ifn-sample.avi","ifn-sample","C:\Users\Professor Moriarty\Downloads\Katt.Williams.Its.Pimpin.Pimpin.2008.DVDRiP.XVID-iFN\sample\ifn-sample.avi","ifn-sample (C:\Users\Professor Moriarty\Downloads\Katt.Williams.Its.Pimpin.Pimpin.2008.DVDRiP.XVID-iFN\sample)",".avi","video","Video","video/avi","00:00:00:52 (525191858)","False","ifn-sample.avi","1077936503","0","24/09/2019 05:18:13.8191693","0,078125","file","Nandub v1.0rc2","56557AA344303436","{5634504D-0000-0010-8000-00AA00389B71}","1046808","1446269005","368","29970","640","1","0","1180464","1","eda0f2ba-fb47-4cd4-b875-e076904e8ed9","Video Clip","3982"
