0F-InvertedOnlyMD5,0-InvertedOnlyPids,11-System_FileName,13F-System_Size,14F-System_FileAttributes,15F-System_DateModified,16F-System_DateCreated,17F-System_DateAccessed,33-System_ItemUrl,3-System_ItemFolderNameDisplay,4165-System_ComputerName,4334-System_ContentType,4346-System_DateImported,4352-System_Document_DateCreated,4354-System_Document_DateSaved,4373-System_FileExtension,4377-System_FileOwner,4378-System_FilePlaceholderStatus,4384-System_FolderNameDisplay,4410-System_IsAttachment,4412-System_IsEncrypted,4415-System_IsFolder,4419-System_ItemDate,4421-System_ItemFolderPathDisplay,4422-System_ItemFolderPathDisplayNarrow,4423-System_ItemName,4424-System_ItemNameDisplay,4425-System_ItemNameDisplayWithoutExtension,4428-System_ItemPathDisplay,4429-System_ItemPathDisplayNarrow,4431-System_ItemType,4437-System_Kind,4438-System_KindText,4453-System_MIMEType,4540-System_NotUserContent,4546-System_ParsingName,4604-System_SFGAOFlags,4605-System_Search_AccessCount,4612F-System_Search_GatherTime,4614-System_Search_LastIndexedTotalTime,4618-System_Search_Store,4655-System_ThumbnailCacheId,4679-System_VolumeId,5-System_ItemTypeText,WorkID
"876E7559B53C0CBB3EABC825E1973688","15124E12","winrt--{S-1-5-21-2801897208-1878083585-4182000528-1002}-.searchconnector-ms","859","Archive (32)","10/03/2018 06:39:56.4415727","10/03/2018 06:39:56.4260051","10/03/2018 06:39:56.4260051","file:C:/Users/maxpowers/Searches/winrt--{S-1-5-21-2801897208-1878083585-4182000528-1002}-.searchconnector-ms","Searches","DESKTOP-EDSLQM8","application/windows-search-connector+xml","10/03/2018 06:39:56.4415727","10/03/2018 06:39:56.4415727","10/03/2018 06:39:56.4415727",".searchconnector-ms","DESKTOP-EDSLQM8\maxpowers","6","winrt--{S-1-5-21-2801897208-1878083585-4182000528-1002}-","False","False","False","10/03/2018 06:39:58.0000000","C:\Users\maxpowers\Searches","Searches (C:\Users\maxpowers)","winrt--{S-1-5-21-2801897208-1878083585-4182000528-1002}-.searchconnector-ms","winrt--{S-1-5-21-2801897208-1878083585-4182000528-1002}-.searchconnector-ms","winrt--{S-1-5-21-2801897208-1878083585-4182000528-1002}-","C:\Users\maxpowers\Searches\winrt--{S-1-5-21-2801897208-1878083585-4182000528-1002}-.searchconnector-ms","winrt--{S-1-5-21-2801897208-1878083585-4182000528-1002}- (C:\Users\maxpowers\Searches)",".searchconnector-ms","folder","Folder","application/windows-search-connector+xml","False","winrt--{S-1-5-21-2801897208-1878083585-4182000528-1002}-.searchconnector-ms","2025848951","0","13/03/2018 18:17:32.7410999","0","file","9E75D1BFBFFCE05B","804cb650-0000-0000-0000-501f00000000","Search Connector","68"
"028BA4FB1EC2353747A259DD5A91C8EC","15124E12","winrt--{S-1-5-21-2801897208-1878083585-4182000528-500}-.searchconnector-ms","855","Archive (32)","10/02/2017 02:05:07.7956286","10/02/2017 02:05:07.7517417","10/02/2017 02:05:07.7517417","file:C:/Users/Administrator/Searches/winrt--{S-1-5-21-2801897208-1878083585-4182000528-500}-.searchconnector-ms","Searches","DESKTOP-EDSLQM8","application/windows-search-connector+xml","10/02/2017 02:05:07.7956286","10/02/2017 02:05:07.7956286","10/02/2017 02:05:07.7956286",".searchconnector-ms","DESKTOP-EDSLQM8\Administrator","6","winrt--{S-1-5-21-2801897208-1878083585-4182000528-500}-","False","False","False","10/02/2017 02:05:08.0000000","C:\Users\Administrator\Searches","Searches (C:\Users\Administrator)","winrt--{S-1-5-21-2801897208-1878083585-4182000528-500}-.searchconnector-ms","winrt--{S-1-5-21-2801897208-1878083585-4182000528-500}-.searchconnector-ms","winrt--{S-1-5-21-2801897208-1878083585-4182000528-500}-","C:\Users\Administrator\Searches\winrt--{S-1-5-21-2801897208-1878083585-4182000528-500}-.searchconnector-ms","winrt--{S-1-5-21-2801897208-1878083585-4182000528-500}- (C:\Users\Administrator\Searches)",".searchconnector-ms","folder","Folder","application/windows-search-connector+xml","False","winrt--{S-1-5-21-2801897208-1878083585-4182000528-500}-.searchconnector-ms","2025848951","0","13/03/2018 18:17:26.7255158","0,03125","file","CECB0AE42B1D30F1","804cb650-0000-0000-0000-501f00000000","Search Connector","1130"
"EFEA78B4E488E96131948C63CFA3BA42","15124E12","winrt--{S-1-5-21-2801897208-1878083585-4182000528-1003}-.searchconnector-ms","859","Archive (32)","26/04/2018 18:23:01.8450768","26/04/2018 18:23:01.8450768","26/04/2018 18:23:01.8450768","file:C:/Users/itsupport/Searches/winrt--{S-1-5-21-2801897208-1878083585-4182000528-1003}-.searchconnector-ms","Searches","DESKTOP-EDSLQM8","application/windows-search-connector+xml","26/04/2018 18:23:01.8450768","26/04/2018 18:23:01.8450768","26/04/2018 18:23:01.8450768",".searchconnector-ms","DESKTOP-EDSLQM8\itsupport","6","winrt--{S-1-5-21-2801897208-1878083585-4182000528-1003}-","False","False","False","26/04/2018 18:23:02.0000000","C:\Users\itsupport\Searches","Searches (C:\Users\itsupport)","winrt--{S-1-5-21-2801897208-1878083585-4182000528-1003}-.searchconnector-ms","winrt--{S-1-5-21-2801897208-1878083585-4182000528-1003}-.searchconnector-ms","winrt--{S-1-5-21-2801897208-1878083585-4182000528-1003}-","C:\Users\itsupport\Searches\winrt--{S-1-5-21-2801897208-1878083585-4182000528-1003}-.searchconnector-ms","winrt--{S-1-5-21-2801897208-1878083585-4182000528-1003}- (C:\Users\itsupport\Searches)",".searchconnector-ms","folder","Folder","application/windows-search-connector+xml","False","winrt--{S-1-5-21-2801897208-1878083585-4182000528-1003}-.searchconnector-ms","2025848951","0","26/04/2018 18:23:28.0950080","0","file","485049F0363864CA","804cb650-0000-0000-0000-501f00000000","Search Connector","2746"
