0F-InvertedOnlyMD5,0-InvertedOnlyPids,11-System_FileName,13F-System_Size,14F-System_FileAttributes,15F-System_DateModified,16F-System_DateCreated,17F-System_DateAccessed,33-System_ItemUrl,3-System_ItemFolderNameDisplay,4182-System_ComputerName,4351-System_ContentType,4363-System_DateImported,4369-System_Document_DateCreated,4371-System_Document_DateSaved,4390-System_FileExtension,4394-System_FileOwner,4395-System_FilePlaceholderStatus,4427-System_IsAttachment,4429-System_IsEncrypted,4432-System_IsFolder,4436-System_ItemDate,4438-System_ItemFolderPathDisplay,4439-System_ItemFolderPathDisplayNarrow,4440-System_ItemName,4441-System_ItemNameDisplay,4442-System_ItemNameDisplayWithoutExtension,4445-System_ItemPathDisplay,4446-System_ItemPathDisplayNarrow,4448-System_ItemType,4470-System_MIMEType,4557-System_NotUserContent,4563-System_ParsingName,4621-System_SFGAOFlags,4622-System_Search_AccessCount,4623-System_Search_AutoSummary,4629F-System_Search_GatherTime,4631-System_Search_LastIndexedTotalTime,4635-System_Search_Store,4676-System_ThumbnailCacheId,4700-System_VolumeId,5-System_ItemTypeText,WorkID
"B5A2D45AFC8FF92F1ED67E9F8EC29AF9","140026126312","banner-styles.css","7050","Archive (32)","21/08/2019 19:37:54.0000000","15/09/2019 21:05:11.2557362","15/09/2019 21:05:11.2557362","file:C:/Users/Professor Moriarty/Desktop/News/BBC NEWS   Controversial Professor Exonerated_files/banner-styles.css","BBC NEWS   Controversial Professor Exonerated_files","DESKTOP-HL2LCVA","text/css","21/08/2019 19:37:54.0000000","21/08/2019 19:37:54.0000000","21/08/2019 19:37:54.0000000",".css","DESKTOP-HL2LCVA\Professor Moriarty","6","False","False","False","21/08/2019 19:37:54.0000000","C:\Users\Professor Moriarty\Desktop\News\BBC NEWS   Controversial Professor Exonerated_files","BBC NEWS   Controversial Professor Exonerated_files (C:\Users\Professor Moriarty\Desktop\News)","banner-styles.css","banner-styles.css","banner-styles","C:\Users\Professor Moriarty\Desktop\News\BBC NEWS   Controversial Professor Exonerated_files\banner-styles.css","banner-styles (C:\Users\Professor Moriarty\Desktop\News\BBC NEWS   Controversial Professor Exonerated_files)",".css","text/css","False","banner-styles.css","1077936503","0","@import 'record.css'; /* for SPN1 */  #wm-ipp-base {   min-height:65px;   padding:0;   margin:0;   border:none;   background:none transparent; } #wm-ipp {   z-index: 2147483640; } #wm-ipp, #wm-ipp * {   font-family:Lucida Grande, Helvetica, Arial, sans-serif;   font-size:12px;   line-height:1.2;   letter-spacing:0;   width:auto;   height:auto;   max-width:none;   max-height:none;   min-width:0 !important;   min-height:0;   outline:none;   float:none;   text-align:left;   border:none;   color: #000;   text-indent: 0;   position: initial;   background: none; } #wm-ipp div, #wm-ipp canvas {   display: block; } #wm-ipp div, #wm-ipp tr, #wm-ipp td, #wm-ipp a, #wm-ipp form {   padding:0;   margin:0;   border:none;   border-radius:0;   background-color:transparent;   background-image:none;   /*z-index:2147483640;*/   height:auto; } #wm-ipp table {   border:none;   border-collapse:collapse;   margin:0;   padding:0;   width:auto;   font-size:inherit; } #wm-ipp form input {   padding:1px !important;   height:auto;   di","15/09/2019 21:05:28.0405579","0,015625","file","28B8871A71B2A3B5","eda0f2ba-fb47-4cd4-b875-e076904e8ed9","Cascading Style Sheet Document","2493"
"11B35D47795693EA016047156E570733","140026126312","iconochive.css","5825","Archive (32)","21/08/2019 19:37:50.0000000","15/09/2019 21:05:11.7414616","15/09/2019 21:05:11.7414616","file:C:/Users/Professor Moriarty/Desktop/News/BBC NEWS   Controversial Professor Exonerated_files/iconochive.css","BBC NEWS   Controversial Professor Exonerated_files","DESKTOP-HL2LCVA","text/css","21/08/2019 19:37:50.0000000","21/08/2019 19:37:50.0000000","21/08/2019 19:37:50.0000000",".css","DESKTOP-HL2LCVA\Professor Moriarty","6","False","False","False","21/08/2019 19:37:50.0000000","C:\Users\Professor Moriarty\Desktop\News\BBC NEWS   Controversial Professor Exonerated_files","BBC NEWS   Controversial Professor Exonerated_files (C:\Users\Professor Moriarty\Desktop\News)","iconochive.css","iconochive.css","iconochive","C:\Users\Professor Moriarty\Desktop\News\BBC NEWS   Controversial Professor Exonerated_files\iconochive.css","iconochive (C:\Users\Professor Moriarty\Desktop\News\BBC NEWS   Controversial Professor Exonerated_files)",".css","text/css","False","iconochive.css","1077936503","0","@font-face{font-family:'Iconochive-Regular';src:url('https://archive.org/includes/fonts/Iconochive-Regular.eot?-ccsheb');src:url('https://archive.org/includes/fonts/Iconochive-Regular.eot?#iefix-ccsheb') format('embedded-opentype'),url('https://archive.org/includes/fonts/Iconochive-Regular.woff?-ccsheb') format('woff'),url('https://archive.org/includes/fonts/Iconochive-Regular.ttf?-ccsheb') format('truetype'),url('https://archive.org/includes/fonts/Iconochive-Regular.svg?-ccsheb#Iconochive-Regular') format('svg');font-weight:normal;font-style:normal} [class^=""iconochive-""],[class*="" iconochive-""]{font-family:'Iconochive-Regular'!important;speak:none;font-style:normal;font-weight:normal;font-variant:normal;text-transform:none;line-height:1;-webkit-font-smoothing:antialiased;-moz-osx-font-smoothing:grayscale} .iconochive-Uplevel:before{content:""\21b5""} .iconochive-exit:before{content:""\1f6a3""} .iconochive-beta:before{content:""\3b2""} .iconochive-logo:before{content:""\1f3db""} .iconochive-audio:before{content:""\1f","15/09/2019 21:05:27.1693327","0,03125","file","686CE045285EF48E","eda0f2ba-fb47-4cd4-b875-e076904e8ed9","Cascading Style Sheet Document","2501"
"CE33C07664775A8A810BF46BA040ADB6","140026126312","story.css","6145","Archive (32)","21/08/2019 19:37:14.0000000","15/09/2019 21:05:20.7845496","15/09/2019 21:05:20.7845496","file:C:/Users/Professor Moriarty/Desktop/News/BBC NEWS   NEWS Disgraced University Professor Leaves_files/story.css","BBC NEWS   NEWS Disgraced University Professor Leaves_files","DESKTOP-HL2LCVA","text/css","21/08/2019 19:37:14.0000000","21/08/2019 19:37:14.0000000","21/08/2019 19:37:14.0000000",".css","DESKTOP-HL2LCVA\Professor Moriarty","6","False","False","False","21/08/2019 19:37:14.0000000","C:\Users\Professor Moriarty\Desktop\News\BBC NEWS   NEWS Disgraced University Professor Leaves_files","BBC NEWS   NEWS Disgraced University Professor Leaves_files (C:\Users\Professor Moriarty\Desktop\News)","story.css","story.css","story","C:\Users\Professor Moriarty\Desktop\News\BBC NEWS   NEWS Disgraced University Professor Leaves_files\story.css","story (C:\Users\Professor Moriarty\Desktop\News\BBC NEWS   NEWS Disgraced University Professor Leaves_files)",".css","text/css","False","story.css","1077936503","0","/* --- SL ADDED 27/3/08 --- */  h1{  	color:#000000;  	font-size:18px;  	font-weight:bold;  	padding:0;  	margin:0;  }  div.ds{  	border-bottom:1px dashed #ddd;  	margin:2px 0 0px 0;  }  p.first{  	padding:0;  	margin:0;  }  /* --- SL END --- */  a.mo, a.epl, .cap{  	font-size:10px;  }  .sh{  	font-size:18px;  	font-weight:bold;  	color:#000;  }  .cap{  	color:#666;  	font-weight:normal;  }  .sibf, .sibmg{  	margin:0 0 0 5px;  }  .sibf{  	background:#eed;  }  .sibmg{  	background:#FFDE9C;  }  .footermain{  	width:760px;  }  .byl{  	font-size:11px;  	font-weight:bold;  	color:#666;  }  .byd{  	font-size:11px;  	color:#000;  }  .seeAlsoH{  	color:#333;  	font-size:10px;  	font-weight:bold;  	margin:0;  	text-transform:uppercase;  }  .sad{  	font-size:11px;  	color:#666;  }  .ch1,.ch2{  	font-size:11px;  	color:#ffffff;  	border:1px;  	padding:4px 0 4px 4px;  }  .ch1{background-color:#77AABB;}  .ch2{background-color:#BBBBAA;}    /* election results */    /* TABBS */  #tabnavbox2{width:203px;font-size:100%;paddin","15/09/2019 21:05:22.7193764","0","file","F3E8B67FF8D765C1","eda0f2ba-fb47-4cd4-b875-e076904e8ed9","Cascading Style Sheet Document","2552"
"CE33C07664775A8A810BF46BA040ADB6","140026126312","story.css","6145","Archive (32)","21/08/2019 19:38:08.0000000","15/09/2019 21:05:24.1071110","15/09/2019 21:05:24.1765585","file:C:/Users/Professor Moriarty/Desktop/News/BBC NEWS   UK   Joshua Reynolds Found Evicerated_files/story.css","BBC NEWS   UK   Joshua Reynolds Found Evicerated_files","DESKTOP-HL2LCVA","text/css","21/08/2019 19:38:08.0000000","21/08/2019 19:38:08.0000000","21/08/2019 19:38:08.0000000",".css","DESKTOP-HL2LCVA\Professor Moriarty","6","False","False","False","21/08/2019 19:38:08.0000000","C:\Users\Professor Moriarty\Desktop\News\BBC NEWS   UK   Joshua Reynolds Found Evicerated_files","BBC NEWS   UK   Joshua Reynolds Found Evicerated_files (C:\Users\Professor Moriarty\Desktop\News)","story.css","story.css","story","C:\Users\Professor Moriarty\Desktop\News\BBC NEWS   UK   Joshua Reynolds Found Evicerated_files\story.css","story (C:\Users\Professor Moriarty\Desktop\News\BBC NEWS   UK   Joshua Reynolds Found Evicerated_files)",".css","text/css","False","story.css","1077936503","0","/* --- SL ADDED 27/3/08 --- */  h1{  	color:#000000;  	font-size:18px;  	font-weight:bold;  	padding:0;  	margin:0;  }  div.ds{  	border-bottom:1px dashed #ddd;  	margin:2px 0 0px 0;  }  p.first{  	padding:0;  	margin:0;  }  /* --- SL END --- */  a.mo, a.epl, .cap{  	font-size:10px;  }  .sh{  	font-size:18px;  	font-weight:bold;  	color:#000;  }  .cap{  	color:#666;  	font-weight:normal;  }  .sibf, .sibmg{  	margin:0 0 0 5px;  }  .sibf{  	background:#eed;  }  .sibmg{  	background:#FFDE9C;  }  .footermain{  	width:760px;  }  .byl{  	font-size:11px;  	font-weight:bold;  	color:#666;  }  .byd{  	font-size:11px;  	color:#000;  }  .seeAlsoH{  	color:#333;  	font-size:10px;  	font-weight:bold;  	margin:0;  	text-transform:uppercase;  }  .sad{  	font-size:11px;  	color:#666;  }  .ch1,.ch2{  	font-size:11px;  	color:#ffffff;  	border:1px;  	padding:4px 0 4px 4px;  }  .ch1{background-color:#77AABB;}  .ch2{background-color:#BBBBAA;}    /* election results */    /* TABBS */  #tabnavbox2{width:203px;font-size:100%;paddin","15/09/2019 21:05:24.4616462","0","file","FBB556F94CBD1A7C","eda0f2ba-fb47-4cd4-b875-e076904e8ed9","Cascading Style Sheet Document","2568"
