0F-InvertedOnlyMD5,0-InvertedOnlyPids,11-System_FileName,13F-System_Size,14F-System_FileAttributes,15F-System_DateModified,16F-System_DateCreated,17F-System_DateAccessed,33-System_ItemUrl,3-System_ItemFolderNameDisplay,4136-System_Author,4164-System_Company,4165-System_ComputerName,4336-System_Copyright,4346-System_DateImported,4352-System_Document_DateCreated,4354-System_Document_DateSaved,4373-System_FileExtension,4377-System_FileOwner,4378-System_FilePlaceholderStatus,4410-System_IsAttachment,4412-System_IsEncrypted,4415-System_IsFolder,4418-System_ItemAuthors,4419-System_ItemDate,4421-System_ItemFolderPathDisplay,4422-System_ItemFolderPathDisplayNarrow,4423-System_ItemName,4424-System_ItemNameDisplay,4425-System_ItemNameDisplayWithoutExtension,4427-System_ItemParticipants,4428-System_ItemPathDisplay,4429-System_ItemPathDisplayNarrow,4431-System_ItemType,4540-System_NotUserContent,4546-System_ParsingName,4604-System_SFGAOFlags,4605-System_Search_AccessCount,4612F-System_Search_GatherTime,4614-System_Search_LastIndexedTotalTime,4618-System_Search_Store,4655-System_ThumbnailCacheId,4659-System_Title,4679-System_VolumeId,5-System_ItemTypeText,WorkID
"E43F50DE7A48D0AC6623CC0D6EB0B0D5","15124E12","fontawesome-webfont.ttf","138204","Archive (32)","25/03/2018 15:45:34.0000000","11/04/2018 16:12:48.6649246","11/04/2018 16:12:48.6649246","file:C:/Users/maxpowers/.rustup/toolchains/stable-x86_64-pc-windows-msvc/share/doc/rust/html/book/first-edition/_FontAwesome/fonts/fontawesome-webfont.ttf","fonts","Dave Gandy","Fort Awesome","DESKTOP-EDSLQM8","Copyright Dave Gandy 2015. All rights reserved.","25/03/2018 15:45:34.0000000","25/03/2018 15:45:34.0000000","25/03/2018 15:45:34.0000000",".ttf","DESKTOP-EDSLQM8\maxpowers","6","False","False","False","Dave Gandy","25/03/2018 15:45:34.0000000","C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\book\first-edition\_FontAwesome\fonts","fonts (C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\book\first-edition\_FontAwesome)","fontawesome-webfont.ttf","fontawesome-webfont.ttf","fontawesome-webfont","Dave Gandy","C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\book\first-edition\_FontAwesome\fonts\fontawesome-webfont.ttf","fontawesome-webfont (C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\book\first-edition\_FontAwesome\fonts)",".ttf","False","fontawesome-webfont.ttf","1077936503","0","11/04/2018 16:16:03.1025012","0,015625","file","3B72B9B2BA203A9A","FontAwesome Regular","804cb650-0000-0000-0000-501f00000000","TrueType font file","9947"
"3CD105543738D0BDA9BC71657CC3517F","15124E12","FontAwesome.ttf","138204","Archive (32)","25/03/2018 15:45:34.0000000","11/04/2018 16:12:48.6649246","11/04/2018 16:12:48.6649246","file:C:/Users/maxpowers/.rustup/toolchains/stable-x86_64-pc-windows-msvc/share/doc/rust/html/book/first-edition/_FontAwesome/fonts/FontAwesome.ttf","fonts","Dave Gandy","Fort Awesome","DESKTOP-EDSLQM8","Copyright Dave Gandy 2015. All rights reserved.","25/03/2018 15:45:34.0000000","25/03/2018 15:45:34.0000000","25/03/2018 15:45:34.0000000",".ttf","DESKTOP-EDSLQM8\maxpowers","6","False","False","False","Dave Gandy","25/03/2018 15:45:34.0000000","C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\book\first-edition\_FontAwesome\fonts","fonts (C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\book\first-edition\_FontAwesome)","FontAwesome.ttf","FontAwesome.ttf","FontAwesome","Dave Gandy","C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\book\first-edition\_FontAwesome\fonts\FontAwesome.ttf","FontAwesome (C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\book\first-edition\_FontAwesome\fonts)",".ttf","False","FontAwesome.ttf","1077936503","0","11/04/2018 16:16:03.0712114","0","file","87A75D909DD442C1","FontAwesome Regular","804cb650-0000-0000-0000-501f00000000","TrueType font file","9950"
"E43F50DE7A48D0AC6623CC0D6EB0B0D5","15124E12","fontawesome-webfont.ttf","138204","Archive (32)","25/03/2018 15:45:35.0000000","11/04/2018 16:12:49.6337097","11/04/2018 16:12:49.6337097","file:C:/Users/maxpowers/.rustup/toolchains/stable-x86_64-pc-windows-msvc/share/doc/rust/html/book/second-edition/_FontAwesome/fonts/fontawesome-webfont.ttf","fonts","Dave Gandy","Fort Awesome","DESKTOP-EDSLQM8","Copyright Dave Gandy 2015. All rights reserved.","25/03/2018 15:45:35.0000000","25/03/2018 15:45:35.0000000","25/03/2018 15:45:35.0000000",".ttf","DESKTOP-EDSLQM8\maxpowers","6","False","False","False","Dave Gandy","25/03/2018 15:45:35.0000000","C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\book\second-edition\_FontAwesome\fonts","fonts (C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\book\second-edition\_FontAwesome)","fontawesome-webfont.ttf","fontawesome-webfont.ttf","fontawesome-webfont","Dave Gandy","C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\book\second-edition\_FontAwesome\fonts\fontawesome-webfont.ttf","fontawesome-webfont (C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\book\second-edition\_FontAwesome\fonts)",".ttf","False","fontawesome-webfont.ttf","1077936503","0","11/04/2018 16:15:58.7274320","0","file","7C2EF8501E30FCD3","FontAwesome Regular","804cb650-0000-0000-0000-501f00000000","TrueType font file","10109"
"3CD105543738D0BDA9BC71657CC3517F","15124E12","FontAwesome.ttf","138204","Archive (32)","25/03/2018 15:45:35.0000000","11/04/2018 16:12:49.6805481","11/04/2018 16:12:49.6805481","file:C:/Users/maxpowers/.rustup/toolchains/stable-x86_64-pc-windows-msvc/share/doc/rust/html/book/second-edition/_FontAwesome/fonts/FontAwesome.ttf","fonts","Dave Gandy","Fort Awesome","DESKTOP-EDSLQM8","Copyright Dave Gandy 2015. All rights reserved.","25/03/2018 15:45:35.0000000","25/03/2018 15:45:35.0000000","25/03/2018 15:45:35.0000000",".ttf","DESKTOP-EDSLQM8\maxpowers","6","False","False","False","Dave Gandy","25/03/2018 15:45:35.0000000","C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\book\second-edition\_FontAwesome\fonts","fonts (C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\book\second-edition\_FontAwesome)","FontAwesome.ttf","FontAwesome.ttf","FontAwesome","Dave Gandy","C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\book\second-edition\_FontAwesome\fonts\FontAwesome.ttf","FontAwesome (C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\book\second-edition\_FontAwesome\fonts)",".ttf","False","FontAwesome.ttf","1077936503","0","11/04/2018 16:15:58.7118565","0,015625","file","9BFBAF164F055B48","FontAwesome Regular","804cb650-0000-0000-0000-501f00000000","TrueType font file","10112"
"E43F50DE7A48D0AC6623CC0D6EB0B0D5","15124E12","fontawesome-webfont.ttf","138204","Archive (32)","25/03/2018 15:49:50.0000000","11/04/2018 16:12:50.1024741","11/04/2018 16:12:50.1024741","file:C:/Users/maxpowers/.rustup/toolchains/stable-x86_64-pc-windows-msvc/share/doc/rust/html/cargo/_FontAwesome/fonts/fontawesome-webfont.ttf","fonts","Dave Gandy","Fort Awesome","DESKTOP-EDSLQM8","Copyright Dave Gandy 2015. All rights reserved.","25/03/2018 15:49:50.0000000","25/03/2018 15:49:50.0000000","25/03/2018 15:49:50.0000000",".ttf","DESKTOP-EDSLQM8\maxpowers","6","False","False","False","Dave Gandy","25/03/2018 15:49:50.0000000","C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\cargo\_FontAwesome\fonts","fonts (C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\cargo\_FontAwesome)","fontawesome-webfont.ttf","fontawesome-webfont.ttf","fontawesome-webfont","Dave Gandy","C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\cargo\_FontAwesome\fonts\fontawesome-webfont.ttf","fontawesome-webfont (C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\cargo\_FontAwesome\fonts)",".ttf","False","fontawesome-webfont.ttf","1077936503","0","11/04/2018 16:15:57.7429756","0","file","1AFC27687D4535BE","FontAwesome Regular","804cb650-0000-0000-0000-501f00000000","TrueType font file","10178"
"3CD105543738D0BDA9BC71657CC3517F","15124E12","FontAwesome.ttf","138204","Archive (32)","25/03/2018 15:49:50.0000000","11/04/2018 16:12:50.1180249","11/04/2018 16:12:50.1180249","file:C:/Users/maxpowers/.rustup/toolchains/stable-x86_64-pc-windows-msvc/share/doc/rust/html/cargo/_FontAwesome/fonts/FontAwesome.ttf","fonts","Dave Gandy","Fort Awesome","DESKTOP-EDSLQM8","Copyright Dave Gandy 2015. All rights reserved.","25/03/2018 15:49:50.0000000","25/03/2018 15:49:50.0000000","25/03/2018 15:49:50.0000000",".ttf","DESKTOP-EDSLQM8\maxpowers","6","False","False","False","Dave Gandy","25/03/2018 15:49:50.0000000","C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\cargo\_FontAwesome\fonts","fonts (C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\cargo\_FontAwesome)","FontAwesome.ttf","FontAwesome.ttf","FontAwesome","Dave Gandy","C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\cargo\_FontAwesome\fonts\FontAwesome.ttf","FontAwesome (C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\cargo\_FontAwesome\fonts)",".ttf","False","FontAwesome.ttf","1077936503","0","11/04/2018 16:15:57.7276155","0","file","3269539E284A3374","FontAwesome Regular","804cb650-0000-0000-0000-501f00000000","TrueType font file","10181"
"E43F50DE7A48D0AC6623CC0D6EB0B0D5","15124E12","fontawesome-webfont.ttf","138204","Archive (32)","25/03/2018 15:49:48.0000000","11/04/2018 16:13:03.1804748","11/04/2018 16:13:03.1804748","file:C:/Users/maxpowers/.rustup/toolchains/stable-x86_64-pc-windows-msvc/share/doc/rust/html/nomicon/_FontAwesome/fonts/fontawesome-webfont.ttf","fonts","Dave Gandy","Fort Awesome","DESKTOP-EDSLQM8","Copyright Dave Gandy 2015. All rights reserved.","25/03/2018 15:49:48.0000000","25/03/2018 15:49:48.0000000","25/03/2018 15:49:48.0000000",".ttf","DESKTOP-EDSLQM8\maxpowers","6","False","False","False","Dave Gandy","25/03/2018 15:49:48.0000000","C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\nomicon\_FontAwesome\fonts","fonts (C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\nomicon\_FontAwesome)","fontawesome-webfont.ttf","fontawesome-webfont.ttf","fontawesome-webfont","Dave Gandy","C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\nomicon\_FontAwesome\fonts\fontawesome-webfont.ttf","fontawesome-webfont (C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\nomicon\_FontAwesome\fonts)",".ttf","False","fontawesome-webfont.ttf","1077936503","0","11/04/2018 16:15:32.7899106","0,015625","file","D25975974F694F25","FontAwesome Regular","804cb650-0000-0000-0000-501f00000000","TrueType font file","12145"
"3CD105543738D0BDA9BC71657CC3517F","15124E12","FontAwesome.ttf","138204","Archive (32)","25/03/2018 15:49:48.0000000","11/04/2018 16:13:03.1804748","11/04/2018 16:13:03.1804748","file:C:/Users/maxpowers/.rustup/toolchains/stable-x86_64-pc-windows-msvc/share/doc/rust/html/nomicon/_FontAwesome/fonts/FontAwesome.ttf","fonts","Dave Gandy","Fort Awesome","DESKTOP-EDSLQM8","Copyright Dave Gandy 2015. All rights reserved.","25/03/2018 15:49:48.0000000","25/03/2018 15:49:48.0000000","25/03/2018 15:49:48.0000000",".ttf","DESKTOP-EDSLQM8\maxpowers","6","False","False","False","Dave Gandy","25/03/2018 15:49:48.0000000","C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\nomicon\_FontAwesome\fonts","fonts (C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\nomicon\_FontAwesome)","FontAwesome.ttf","FontAwesome.ttf","FontAwesome","Dave Gandy","C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\nomicon\_FontAwesome\fonts\FontAwesome.ttf","FontAwesome (C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\nomicon\_FontAwesome\fonts)",".ttf","False","FontAwesome.ttf","1077936503","0","11/04/2018 16:15:32.7587759","0,03125","file","C5A458B0A261047F","FontAwesome Regular","804cb650-0000-0000-0000-501f00000000","TrueType font file","12148"
"E43F50DE7A48D0AC6623CC0D6EB0B0D5","15124E12","fontawesome-webfont.ttf","138204","Archive (32)","25/03/2018 15:49:49.0000000","11/04/2018 16:13:04.8212386","11/04/2018 16:13:04.8212386","file:C:/Users/maxpowers/.rustup/toolchains/stable-x86_64-pc-windows-msvc/share/doc/rust/html/reference/_FontAwesome/fonts/fontawesome-webfont.ttf","fonts","Dave Gandy","Fort Awesome","DESKTOP-EDSLQM8","Copyright Dave Gandy 2015. All rights reserved.","25/03/2018 15:49:49.0000000","25/03/2018 15:49:49.0000000","25/03/2018 15:49:49.0000000",".ttf","DESKTOP-EDSLQM8\maxpowers","6","False","False","False","Dave Gandy","25/03/2018 15:49:49.0000000","C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\reference\_FontAwesome\fonts","fonts (C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\reference\_FontAwesome)","fontawesome-webfont.ttf","fontawesome-webfont.ttf","fontawesome-webfont","Dave Gandy","C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\reference\_FontAwesome\fonts\fontawesome-webfont.ttf","fontawesome-webfont (C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\reference\_FontAwesome\fonts)",".ttf","False","fontawesome-webfont.ttf","1077936503","0","11/04/2018 16:15:30.2742425","0,015625","file","BBC137DF384445F7","FontAwesome Regular","804cb650-0000-0000-0000-501f00000000","TrueType font file","12290"
"3CD105543738D0BDA9BC71657CC3517F","15124E12","FontAwesome.ttf","138204","Archive (32)","25/03/2018 15:49:49.0000000","11/04/2018 16:13:04.8523649","11/04/2018 16:13:04.8523649","file:C:/Users/maxpowers/.rustup/toolchains/stable-x86_64-pc-windows-msvc/share/doc/rust/html/reference/_FontAwesome/fonts/FontAwesome.ttf","fonts","Dave Gandy","Fort Awesome","DESKTOP-EDSLQM8","Copyright Dave Gandy 2015. All rights reserved.","25/03/2018 15:49:49.0000000","25/03/2018 15:49:49.0000000","25/03/2018 15:49:49.0000000",".ttf","DESKTOP-EDSLQM8\maxpowers","6","False","False","False","Dave Gandy","25/03/2018 15:49:49.0000000","C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\reference\_FontAwesome\fonts","fonts (C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\reference\_FontAwesome)","FontAwesome.ttf","FontAwesome.ttf","FontAwesome","Dave Gandy","C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\reference\_FontAwesome\fonts\FontAwesome.ttf","FontAwesome (C:\Users\maxpowers\.rustup\toolchains\stable-x86_64-pc-windows-msvc\share\doc\rust\html\reference\_FontAwesome\fonts)",".ttf","False","FontAwesome.ttf","1077936503","0","11/04/2018 16:15:30.2586942","0","file","D4020653D2F8D040","FontAwesome Regular","804cb650-0000-0000-0000-501f00000000","TrueType font file","12293"
