0F-InvertedOnlyMD5,0-InvertedOnlyPids,11-System_FileName,13F-System_Size,14F-System_FileAttributes,15F-System_DateModified,16F-System_DateCreated,17F-System_DateAccessed,33-System_ItemUrl,3-System_ItemFolderNameDisplay,4165-System_ComputerName,4346-System_DateImported,4352-System_Document_DateCreated,4354-System_Document_DateSaved,4373-System_FileExtension,4377-System_FileOwner,4378-System_FilePlaceholderStatus,4393-System_History_SelectionCount,4395-System_History_VisitCount,4410-System_IsAttachment,4412-System_IsEncrypted,4415-System_IsFolder,4419-System_ItemDate,4421-System_ItemFolderPathDisplay,4422-System_ItemFolderPathDisplayNarrow,4423-System_ItemName,4424-System_ItemNameDisplay,4425-System_ItemNameDisplayWithoutExtension,4428-System_ItemPathDisplay,4429-System_ItemPathDisplayNarrow,4431-System_ItemType,4437-System_Kind,4438-System_KindText,4446-System_Link_TargetParsingPath,4447-System_Link_TargetSFGAOFlags,4449-System_Link_TargetUrl,4450-System_Link_TargetUrlHostName,4451-System_Link_TargetUrlPath,4540-System_NotUserContent,4546-System_ParsingName,4604-System_SFGAOFlags,4605-System_Search_AccessCount,4612F-System_Search_GatherTime,4614-System_Search_LastIndexedTotalTime,4618-System_Search_Store,4651-System_SyncTransferStatusFlags,4655-System_ThumbnailCacheId,4659-System_Title,4679-System_VolumeId,5-System_ItemTypeText,WorkID
"95E4A47315ED19F57DD62B415A66780D","5D11601115124E1252125512","Bing.url","208","Archive (32)","19/04/2018 14:24:31.1380000","10/03/2018 06:39:17.5665201","19/04/2018 14:24:31.1380000","file:C:/Users/maxpowers/Favorites/Bing.url","Favorites","go.microsoft.com","10/03/2018 06:39:18.0000000","10/03/2018 06:39:18.0000000","19/04/2018 14:24:31.1380000",".url","DESKTOP-EDSLQM8\maxpowers","6","1","1","False","False","False","10/03/2018 06:39:18.0000000","C:\Users\maxpowers\Favorites","Favorites (C:\Users\maxpowers)","Bing.url","Bing.url","Bing","C:\Users\maxpowers\Favorites\Bing.url","Bing (C:\Users\maxpowers\Favorites)",".url","link","Link","http://go.microsoft.com/fwlink/p/?LinkId=255142","138412036","http://go.microsoft.com/fwlink/p/?LinkId=255142","go.microsoft","/fwlink/p/?LinkId=255142","False","Bing.url","1078002039","0","19/04/2018 14:24:44.2471372","0,09375","file",,"483DAC674FBBEF94","Bing","804cb650-0000-0000-0000-501f00000000","Internet Shortcut","76"
"95E4A47315ED19F57DD62B415A66780D","5D11601115124E1252125512","Bing.url","208","Archive (32)","10/02/2017 02:03:44.4985861","10/02/2017 02:03:44.0158407","10/02/2017 02:03:44.0158407","file:C:/Users/Administrator/Favorites/Bing.url","Favorites","go.microsoft.com","10/02/2017 02:03:44.4985861","10/02/2017 02:03:44.4985861","10/02/2017 02:03:44.4985861",".url","DESKTOP-EDSLQM8\Administrator","6","1","1","False","False","False","10/02/2017 02:03:44.4985861","C:\Users\Administrator\Favorites","Favorites (C:\Users\Administrator)","Bing.url","Bing.url","Bing","C:\Users\Administrator\Favorites\Bing.url","Bing (C:\Users\Administrator\Favorites)",".url","link","Link","http://go.microsoft.com/fwlink/p/?LinkId=255142","138412036","http://go.microsoft.com/fwlink/p/?LinkId=255142","go.microsoft","/fwlink/p/?LinkId=255142","False","Bing.url","1078002039","0","13/03/2018 18:17:25.0068128","0,046875","file",,"CB1B100C3D91E466","Bing","804cb650-0000-0000-0000-501f00000000","Internet Shortcut","1137"
"95E4A47315ED19F57DD62B415A66780D","5D11601115124E1252125512","Bing.url","208","Archive (32)","26/04/2018 18:22:34.9700251","26/04/2018 18:22:34.9700251","26/04/2018 18:22:34.9700251","file:C:/Users/itsupport/Favorites/Bing.url","Favorites","go.microsoft.com","26/04/2018 18:22:34.9700251","26/04/2018 18:22:34.9700251","26/04/2018 18:22:34.9700251",".url","DESKTOP-EDSLQM8\itsupport","6","1","1","False","False","False","26/04/2018 18:22:34.9700251","C:\Users\itsupport\Favorites","Favorites (C:\Users\itsupport)","Bing.url","Bing.url","Bing","C:\Users\itsupport\Favorites\Bing.url","Bing (C:\Users\itsupport\Favorites)",".url","link","Link","http://go.microsoft.com/fwlink/p/?LinkId=255142","138412036","http://go.microsoft.com/fwlink/p/?LinkId=255142","go.microsoft","/fwlink/p/?LinkId=255142","False","Bing.url","1078002039","0","26/04/2018 18:23:33.9701606","0,046875","file",,"B8A7795ED887D77C","Bing","804cb650-0000-0000-0000-501f00000000","Internet Shortcut","2658"
"E03D824CD7379BC23B4D7BC54CE5CFB5","5D11601115124E125212","Visit Maxthon Forum.url","148","Archive (32)","26/04/2018 18:28:28.8703532","26/04/2018 18:28:28.8528038","26/04/2018 18:28:28.8528038","file:C:/ProgramData/Microsoft/Windows/Start Menu/Programs/MX5/Visit Maxthon Forum.url","Start Menu\Programs\MX5","go.maxthon.com","26/04/2018 18:28:28.8703532","26/04/2018 18:28:28.8703532","26/04/2018 18:28:28.8703532",".url","Administrators","6","1","1","False","False","False","26/04/2018 18:28:28.8703532","C:\ProgramData\Microsoft\Windows\Start Menu\Programs\MX5","MX5 (C:\ProgramData\Microsoft\Windows\Start Menu\Programs)","Visit Maxthon Forum.url","Visit Maxthon Forum.url","Visit Maxthon Forum","C:\ProgramData\Microsoft\Windows\Start Menu\Programs\MX5\Visit Maxthon Forum.url","Visit Maxthon Forum (C:\ProgramData\Microsoft\Windows\Start Menu\Programs\MX5)",".url","link","Link","http://go.maxthon.com/redir/mx4/feature_post.htm?f=mx4forum","138412036","http://go.maxthon.com/redir/mx4/feature_post.htm?f=mx4forum","go.maxthon","/redir/mx4/feature_post.htm?f=mx4forum","False","Visit Maxthon Forum.url","1078002039","0","26/04/2018 18:28:36.9417718","0,078125","file",,"FFDE2923A45A47AA","Visit Maxthon Forum","804cb650-0000-0000-0000-501f00000000","Internet Shortcut","2902"
"45911B6FC362617AA2A6ED46CDFDB483","5D11601115124E12","Get Started with Dropbox Paper.url","240","Archive (32)","25/04/2018 20:41:06.0000000","26/04/2018 18:35:05.8259584","26/04/2018 18:35:06.0580000","file:C:/Users/itsupport/Dropbox/Get Started with Dropbox Paper.url","Dropbox","www.dropbox.com","25/04/2018 20:41:06.0000000","25/04/2018 20:41:06.0000000","25/04/2018 20:41:06.0000000",".url","DESKTOP-EDSLQM8\itsupport","6","1","1","False","False","False","25/04/2018 20:41:06.0000000","C:\Users\itsupport\Dropbox","Dropbox (C:\Users\itsupport)","Get Started with Dropbox Paper.url","Get Started with Dropbox Paper.url","Get Started with Dropbox Paper","C:\Users\itsupport\Dropbox\Get Started with Dropbox Paper.url","Get Started with Dropbox Paper (C:\Users\itsupport\Dropbox)",".url","link","Link","https://www.dropbox.com/login?_tk=dropbox_desktop_urlfile&cont=https%3A%2F%2Fpaper.dropbox.com%2Fpad%2Fopen-or-create-sample%2Fintro&register_cont=https%3A%2F%2Fpaper.dropbox.com%2Fpad%2Fopen-or-create-sample%2Fintro","138412036","https://www.dropbox.com/login?_tk=dropbox_desktop_urlfile&cont=https%3A%2F%2Fpaper.dropbox.com%2Fpad%2Fopen-or-create-sample%2Fintro&register_cont=https%3A%2F%2Fpaper.dropbox.com%2Fpad%2Fopen-or-create-sample%2Fintro","dropbox","/login?_tk=dropbox_desktop_urlfile&cont=https%3A%2F%2Fpaper.dropbox.com%2Fpad%2Fopen-or-create-sample%2Fintro&register_cont=https%3A%2F%2Fpaper.dropbox.com%2Fpad%2Fopen-or-create-sample%2Fintro","False","Get Started with Dropbox Paper.url","1078002039","0","26/04/2018 18:35:07.1594204","0,03125","file","1","3487E014E40D8646","Get Started with Dropbox Paper","804cb650-0000-0000-0000-501f00000000","Internet Shortcut","2926"
